match_id,match_date,team_name,team_type,opponent_name,passing_possession_%,passing_total_passes,passing_completed_passes,passing_passing_accuracy,passing_progressive_passes,passing_final_third_passes,passing_penalty_area_passes,passing_crosses_attempted,passing_crosses_completed,passing_cross_success_rate,attacking_total_shots,attacking_shots_on_target,attacking_shots_blocked,attacking_shots_off_target,attacking_xg,attacking_avg_xg_per_shot,attacking_key_passes,defensive_pressures,defensive_high_pressures,defensive_tackles,defensive_interceptions,defensive_ball_recoveries,defensive_blocks,defensive_clearances,defensive_xga,defensive_pressing_success,defensive_aerial_duels_won,defensive_fouls_committed,defensive_yellow_cards,defensive_red_cards,goalkeeper_saves,goalkeeper_shots_faced,goalkeeper_goals_conceded,goalkeeper_clean_sheets,goalkeeper_goals_prevented,goalkeeper_post_shot_xg_conceded,goalkeeper_psxg_plus_minus,goalkeeper_sweeper_actions,transition_counter_attacks,transition_counter_attack_shots,transition_turnovers_to_shots,transition_avg_attack_speed,transition_press_to_attack_conversion,efficiency_goals_scored,efficiency_goals_conceded,efficiency_conversion_rate,efficiency_xg_vs_goals_diff,efficiency_xga_vs_conceded_diff
3869117,03/12/2022,Netherlands,home_team,United States,39.5,439,332,75.6,108,75,19,9,4,44.4,6,3,0,3,0.98,0.163,7,138,22,0,7,36,34,35,1.29,12.3,39,11,0,0,4,5,1,0,-0.22,0.78,-0.22,0,1,0,0,0,1.4,3,1,50,2.02,-0.29
3869117,03/12/2022,United States,away_team,Netherlands,60.5,618,499,80.7,137,183,57,18,4,22.2,15,5,5,3,1.29,0.086,13,103,31,0,15,67,17,11,0.98,17.5,31,5,0,0,0,3,3,0,-2.35,0.65,-2.35,0,1,0,0,0,3.7,1,3,6.7,-0.29,2.02
3857270,28/11/2022,Portugal,home_team,Uruguay,61.9,626,525,83.9,122,158,31,9,5,55.6,13,3,4,4,1.16,0.089,11,86,17,0,7,48,22,31,1.22,16.3,26,11,1,0,3,3,0,1,0.78,0.78,0.78,0,3,0,0,0,3.6,2,0,15.4,0.84,-1.22
3857270,28/11/2022,Uruguay,away_team,Portugal,38.1,438,324,74,91,101,20,12,4,33.3,11,3,1,5,1.22,0.111,10,125,34,0,9,37,27,12,1.16,13.6,31,16,1,0,1,3,2,0,-1.18,0.82,-1.18,0,1,0,0,0,1.3,0,2,0,-1.22,0.84
3857263,27/11/2022,Spain,home_team,Germany,61.7,663,578,87.2,140,92,33,8,4,50,7,2,2,2,0.64,0.091,6,124,39,0,12,38,15,16,0.46,9.7,22,14,0,0,2,3,1,0,-0.73,0.27,-0.73,0,1,0,0,0,0,1,1,14.3,0.36,0.54
3857263,27/11/2022,Germany,away_team,Spain,38.3,371,291,78.4,82,80,28,8,1,12.5,8,3,2,3,0.46,0.057,7,158,61,0,19,45,21,15,0.64,9.5,40,15,0,0,1,2,1,0,-0.67,0.33,-0.67,0,2,0,0,0,0,1,1,12.5,0.54,0.36
3857259,28/11/2022,Cameroon,home_team,Serbia,44.2,395,276,69.9,88,97,33,13,2,15.4,9,6,2,1,0.94,0.105,7,118,29,0,20,51,15,23,1.71,13.6,31,9,1,0,2,5,3,0,-1.83,1.17,-1.83,0,3,0,0,0,0,2,3,22.2,1.06,1.29
3857259,28/11/2022,Serbia,away_team,Cameroon,55.8,536,428,79.9,130,140,47,19,5,26.3,13,5,2,5,1.71,0.131,7,119,29,0,9,50,24,33,0.94,11.8,37,16,1,0,4,6,2,0,-1.18,0.82,-1.18,0,2,0,0,0,4.5,3,2,23.1,1.29,1.06
3857295,27/11/2022,Japan,home_team,Costa Rica,56.3,619,527,85.1,137,150,24,10,1,10,5,1,1,1,0.25,0.05,7,146,52,0,8,47,13,9,0.13,11.6,26,24,0,0,0,1,1,0,-0.88,0.12,-0.88,0,1,0,0,0,0,0,1,0,-0.25,0.87
3857295,27/11/2022,Costa Rica,away_team,Japan,43.7,470,374,79.6,85,34,4,3,0,0,2,1,0,0,0.13,0.067,1,161,11,0,12,56,22,23,0.25,17.4,37,13,0,0,1,1,0,1,0.09,0.09,0.09,0,2,0,0,0,0,1,0,50,0.87,-0.25
