match_id,match_date,team_name,team_type,opponent_name,passing_possession_%,passing_total_passes,passing_completed_passes,passing_passing_accuracy,passing_progressive_passes,passing_final_third_passes,passing_penalty_area_passes,passing_crosses_attempted,passing_crosses_completed,passing_cross_success_rate,attacking_total_shots,attacking_shots_on_target,attacking_shots_blocked,attacking_shots_off_target,attacking_xg,attacking_avg_xg_per_shot,attacking_key_passes,defensive_pressures,defensive_high_pressures,defensive_tackles,defensive_interceptions,defensive_ball_recoveries,defensive_blocks,defensive_clearances,defensive_xga,defensive_pressing_success,defensive_aerial_duels_won,defensive_fouls_committed,defensive_yellow_cards,defensive_red_cards,goalkeeper_saves,goalkeeper_shots_faced,goalkeeper_goals_conceded,goalkeeper_clean_sheets,goalkeeper_goals_prevented,goalkeeper_post_shot_xg_conceded,goalkeeper_psxg_plus_minus,goalkeeper_sweeper_actions,transition_counter_attacks,transition_counter_attack_shots,transition_turnovers_to_shots,transition_avg_attack_speed,transition_press_to_attack_conversion,efficiency_goals_scored,efficiency_goals_conceded,efficiency_conversion_rate,efficiency_xg_vs_goals_diff,efficiency_xga_vs_conceded_diff
3857296,01/12/2022,Belgium,away_team,Croatia,50.4,630,543,86.2,138,113,30,17,5,29.4,12,3,4,3,1.55,0.129,11,119,22,0,12,37,22,30,0.13,6.7,24,10,0,0,1,1,0,1,0.07,0.07,0.07,0,4,0,0,0,0,0,0,0,-1.55,-0.13
3857293,02/12/2022,Ghana,home_team,Uruguay,53.3,493,384,77.9,122,135,28,8,1,12.5,9,4,2,3,1.39,0.155,5,146,38,0,6,61,25,26,0.64,18.5,51,21,0,0,2,3,1,0,-0.76,0.24,-0.76,0,0,0,0,0,2.6,0,1,0,-1.39,0.36
3857293,02/12/2022,Uruguay,away_team,Ghana,46.7,469,364,77.6,114,116,28,11,3,27.3,8,3,1,4,0.64,0.08,8,147,28,0,10,49,23,30,1.39,15,44,11,4,0,4,4,0,1,0.99,0.99,0.99,1,2,1,1,0,2.5,1,0,12.5,0.36,-1.39
3857292,01/12/2022,Costa Rica,home_team,Germany,33.9,374,284,75.9,96,56,18,10,3,30,3,2,0,1,0.36,0.121,4,125,11,0,15,48,21,37,3.27,11.2,38,4,0,0,5,9,4,0,-1.91,2.09,-1.91,0,10,0,0,0,1.5,0,4,0,-0.36,0.73
3857292,01/12/2022,Germany,away_team,Costa Rica,66.1,766,669,87.3,205,293,56,20,10,50,21,9,3,7,3.27,0.156,21,140,55,0,11,57,16,8,0.36,15.7,28,9,0,0,2,2,0,1,0.33,0.33,0.33,0,1,0,0,0,5.6,4,0,19,0.73,-0.36
3857291,23/11/2022,Spain,home_team,Costa Rica,81.6,1090,1009,92.6,239,239,43,13,3,23.1,17,8,2,7,2.76,0.162,9,80,32,0,7,45,14,5,0,25,29,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,7,0,41.2,4.24,0
3857291,23/11/2022,Costa Rica,away_team,Spain,18.4,250,172,68.8,59,30,5,5,1,20,0,0,0,0,0,0,0,149,20,0,9,29,20,21,2.76,10.1,38,14,0,0,1,8,7,0,-4.94,2.06,-4.94,1,2,0,0,0,0,0,7,0,0,4.24
3857290,24/11/2022,Switzerland,home_team,Cameroon,50,549,461,84,125,127,35,13,3,23.1,7,3,1,3,1.43,0.204,6,143,48,0,8,33,8,28,0.44,7,29,14,0,0,4,4,0,1,0.39,0.39,0.39,0,2,0,0,0,1.5,1,0,14.3,-0.43,-0.44
3857290,24/11/2022,Cameroon,away_team,Switzerland,50,533,440,82.6,122,120,26,14,2,14.3,6,4,1,1,0.44,0.073,5,145,35,0,15,52,15,19,1.43,13.8,33,10,0,0,2,3,1,0,-0.2,0.8,-0.2,0,1,0,0,0,0,0,1,0,-0.44,-0.43
3857285,21/11/2022,Senegal,home_team,Netherlands,49.4,430,344,80,86,150,52,12,7,58.3,13,4,3,5,0.64,0.049,13,112,16,0,9,49,13,34,0.67,15.2,35,13,0,0,0,1,1,0,-0.71,0.29,-0.71,0,2,0,0,0,1.6,0,1,0,-0.64,0.33
3857285,21/11/2022,Netherlands,away_team,Senegal,50.6,491,393,80,107,123,40,17,6,35.3,8,1,3,4,0.67,0.084,7,104,30,0,11,31,15,16,0.64,14.4,29,16,0,0,4,4,0,1,0.12,0.12,0.12,0,1,0,0,0,3.2,1,0,12.5,0.33,-0.64
3857281,27/11/2022,Croatia,home_team,Canada,48.4,507,411,81.1,113,142,56,21,6,28.6,11,8,0,2,2.27,0.207,8,166,49,0,17,40,16,18,0.23,10.2,45,15,1,0,1,2,1,0,-0.87,0.13,-0.87,0,1,0,0,0,1.2,4,1,36.4,1.73,0.77
3857281,27/11/2022,Canada,away_team,Croatia,51.6,529,437,82.6,130,120,31,12,4,33.3,6,2,2,2,0.23,0.038,3,133,30,0,10,57,19,29,2.27,17.3,22,6,1,0,4,8,4,0,-1.94,2.06,-1.94,0,3,0,0,0,4.2,1,4,16.7,0.77,1.73
3857280,02/12/2022,Cameroon,home_team,Brazil,36,333,254,76.3,85,64,17,6,2,33.3,7,3,1,2,0.38,0.055,6,140,34,0,11,40,16,25,2.04,11.4,29,17,0,0,8,8,0,1,0.81,0.81,0.81,0,2,0,0,0,1.4,1,0,14.3,0.62,-2.04
3857280,02/12/2022,Brazil,away_team,Cameroon,64,593,512,86.3,146,160,51,18,8,44.4,19,8,3,8,2.04,0.108,16,132,31,0,4,57,10,13,0.38,22.7,34,15,0,0,2,3,1,0,-0.79,0.21,-0.79,0,0,0,0,0,3,0,1,0,-2.04,0.62
3857279,22/11/2022,France,home_team,Australia,61.5,763,680,89.1,146,193,48,25,14,56,15,6,4,4,2.47,0.164,15,83,26,0,11,44,13,11,0.32,10.8,28,4,0,0,0,1,1,0,-0.81,0.19,-0.81,0,0,0,0,0,2,4,1,26.7,1.53,0.68
3857279,22/11/2022,Australia,away_team,France,38.5,475,394,82.9,101,60,14,6,3,50,4,1,0,2,0.32,0.081,1,105,24,0,11,46,24,21,2.47,20,29,14,0,0,2,6,4,0,-2.62,1.38,-2.62,0,0,0,0,0,1.7,1,4,25,0.68,1.53
3857278,29/11/2022,Iran,home_team,United States,47.5,515,402,78.1,130,95,24,14,3,21.4,4,1,0,3,0.92,0.23,4,150,30,0,11,45,22,11,1.01,15.3,41,21,1,0,3,4,1,0,-0.27,0.73,-0.27,0,5,1,1,0,0,0,1,0,-0.92,-0.01
3857278,29/11/2022,United States,away_team,Iran,52.5,517,426,82.4,132,143,42,11,2,18.2,10,4,2,3,1.01,0.101,8,140,35,0,8,60,12,31,0.92,17.9,37,13,0,0,1,1,0,1,0.31,0.31,0.31,0,2,0,0,0,2.9,1,0,10,-0.01,-0.92
3857277,23/11/2022,Morocco,home_team,Croatia,36.7,384,301,78.4,84,65,15,3,0,0,6,1,5,0,0.24,0.04,5,168,30,0,15,55,23,22,0.71,13.1,36,18,0,0,1,1,0,1,0.45,0.45,0.45,0,0,0,0,0,5.3,0,0,0,-0.24,-0.71
3857277,23/11/2022,Croatia,away_team,Morocco,63.3,686,577,84.1,139,111,34,10,2,20,3,1,1,1,0.71,0.236,1,107,29,0,12,43,18,9,0.24,12.1,37,12,0,0,1,1,0,1,0.02,0.02,0.02,0,0,0,0,0,2.9,0,0,0,-0.71,-0.24
3857276,01/12/2022,Canada,home_team,Morocco,61.2,562,480,85.4,128,102,17,9,2,22.2,3,0,1,2,0.37,0.123,4,135,54,0,10,52,13,12,0.43,14.1,21,16,0,0,0,2,2,0,-1.87,0.13,-1.87,0,0,0,0,0,1.4,0,2,0,-0.37,1.57
3857276,01/12/2022,Morocco,away_team,Canada,38.8,393,310,78.9,88,53,18,5,1,20,7,2,2,1,0.43,0.061,2,154,25,0,13,41,14,29,0.37,13,42,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.4,2,0,28.6,1.57,-0.37
3857275,30/11/2022,Tunisia,home_team,France,36.1,361,275,76.2,96,85,38,15,5,33.3,5,3,0,2,0.3,0.06,2,110,24,0,13,54,22,34,0.31,12.7,44,16,0,0,1,1,0,1,0.01,0.01,0.01,0,1,0,0,0,1.5,1,0,20,0.7,-0.31
3857275,30/11/2022,France,away_team,Tunisia,63.9,661,564,85.3,146,157,36,15,3,20,6,1,3,1,0.31,0.051,7,94,24,0,12,58,17,19,0.3,16,42,8,0,0,2,3,1,0,-0.73,0.27,-0.73,0,2,0,0,0,3.3,0,1,0,-0.31,0.7
3857274,25/11/2022,Netherlands,home_team,Ecuador,50.2,552,457,82.8,125,81,19,3,0,0,2,1,0,1,0.1,0.052,1,135,23,0,5,35,25,24,0.43,13.3,49,16,0,0,2,2,0,1,0.06,0.06,0.06,0,0,0,0,0,1.4,1,0,50,0.9,-0.43
3857274,25/11/2022,Ecuador,away_team,Netherlands,49.8,463,359,77.5,94,82,34,12,6,50,9,2,4,1,0.43,0.047,8,170,45,0,15,56,20,18,0.1,16.5,45,13,0,0,0,1,1,0,-0.94,0.06,-0.94,0,2,0,0,0,2.6,0,1,0,-0.43,0.9
3857273,25/11/2022,Wales,home_team,Iran,63.2,559,438,78.4,133,130,27,13,5,38.5,5,2,1,2,0.42,0.085,7,90,36,0,10,63,26,35,1.04,37.8,26,9,0,0,3,4,1,0,-0.71,0.29,-0.71,1,2,0,0,0,0,0,1,0,-0.42,-0.04
3857273,25/11/2022,Iran,away_team,Wales,36.8,363,227,62.5,88,99,38,19,2,10.5,15,4,8,1,1.04,0.069,12,161,36,0,15,57,20,16,0.42,12.4,44,10,1,0,2,2,0,1,0.15,0.15,0.15,0,2,0,0,0,3.8,1,0,6.7,-0.04,-0.42
3857272,25/11/2022,England,home_team,United States,56,582,500,85.9,144,126,30,10,3,30,6,3,0,3,0.31,0.052,6,103,29,0,7,29,21,20,0.44,10.7,19,11,0,0,1,1,0,1,0.02,0.02,0.02,0,0,0,0,0,1.8,0,0,0,-0.31,-0.44
3857272,25/11/2022,United States,away_team,England,44,456,377,82.7,105,95,37,8,4,50,8,1,3,3,0.44,0.055,9,157,20,0,4,38,23,16,0.31,8.3,36,16,0,0,3,3,0,1,0.14,0.14,0.14,0,0,0,0,0,1.7,0,0,0,-0.44,-0.31
3857271,21/11/2022,England,home_team,Iran,76.7,846,746,88.2,191,155,39,13,4,30.8,13,7,3,2,1.99,0.153,4,101,37,0,6,46,13,7,1.38,20.8,30,9,0,0,0,2,2,0,-1.15,0.85,-1.15,0,1,1,1,0,4.9,6,2,46.2,4.01,0.62
3857271,21/11/2022,Iran,away_team,England,23.3,247,163,66,49,46,16,9,2,22.2,6,2,0,3,1.38,0.23,5,141,28,0,21,38,17,21,1.99,13.5,25,21,0,0,1,7,6,0,-4.52,1.48,-4.52,0,2,0,0,0,0,2,6,33.3,0.62,4.01
3857268,23/11/2022,Belgium,home_team,Canada,49.9,534,451,84.5,121,51,17,5,4,80,7,2,2,3,0.64,0.091,7,83,11,0,9,39,31,30,1.44,10.8,29,11,0,0,2,2,0,1,0.11,0.11,0.11,0,5,0,0,0,1.9,1,0,14.3,0.36,-1.44
3857268,23/11/2022,Canada,away_team,Belgium,50.1,480,401,83.5,126,127,33,16,9,56.2,18,2,7,9,1.44,0.08,18,112,36,0,12,50,17,10,0.64,12.5,22,15,0,0,1,2,1,0,-0.73,0.27,-0.73,0,0,0,0,0,3.2,0,1,0,-1.44,0.36
3857265,22/11/2022,Mexico,home_team,Poland,58.4,544,437,80.3,130,127,39,21,6,28.6,11,4,3,4,0.53,0.048,9,96,25,0,8,49,18,21,0.25,19.8,43,14,0,0,1,1,0,1,0.05,0.05,0.05,0,0,0,0,0,1.8,0,0,0,-0.53,-0.25
3857265,22/11/2022,Poland,away_team,Mexico,41.6,362,259,71.5,73,83,23,3,0,0,4,1,1,1,0.25,0.063,4,135,20,0,8,49,27,28,0.53,18.5,31,15,0,0,4,4,0,1,0.14,0.14,0.14,0,1,0,0,0,3,0,0,0,-0.25,-0.53
3857262,02/12/2022,South Korea,home_team,Portugal,38.9,388,309,79.6,90,87,18,7,2,28.6,12,6,4,2,1.4,0.117,6,111,24,0,7,47,16,29,0.65,14.4,23,9,1,0,4,5,1,0,-0.53,0.47,-0.53,0,2,0,0,0,1.7,2,1,16.7,0.6,0.35
3857262,02/12/2022,Portugal,away_team,South Korea,61.1,619,534,86.3,132,149,29,15,5,33.3,11,5,4,2,0.65,0.059,7,83,26,0,6,43,15,19,1.4,18.1,35,10,0,0,4,6,2,0,-0.75,1.25,-0.75,0,7,1,1,0,6.7,1,2,9.1,0.35,0.6
3857261,29/11/2022,Wales,home_team,England,33.9,351,274,78.1,70,48,16,4,1,25,7,1,3,3,0.21,0.03,5,136,28,0,4,25,22,14,1.78,6.6,34,19,0,0,2,5,3,0,-1.99,1.01,-1.99,0,0,0,0,0,3.1,0,3,0,-0.21,1.22
3857261,29/11/2022,England,away_team,Wales,66.1,630,553,87.8,129,149,40,8,3,37.5,13,5,3,4,1.78,0.137,10,74,26,0,9,35,13,9,0.21,12.2,20,11,0,0,1,1,0,1,0.01,0.01,0.01,0,0,0,0,0,2,3,0,23.1,1.22,-0.21
3857255,01/12/2022,Japan,home_team,Spain,16.5,253,177,70,61,42,14,5,2,40,6,3,1,2,1.16,0.193,3,229,37,0,14,23,26,22,0.83,7,27,11,0,0,3,4,1,0,-0.38,0.62,-0.38,0,6,0,0,0,1.6,2,1,33.3,0.84,0.17
3857255,01/12/2022,Spain,away_team,Japan,83.5,1093,993,90.9,195,287,47,13,2,15.4,10,4,4,2,0.83,0.083,8,89,29,0,9,56,8,4,1.16,29.2,28,8,0,0,1,3,2,0,-1.05,0.95,-1.05,0,1,0,0,0,7.8,1,2,10,0.17,0.84
3857254,22/11/2022,Denmark,home_team,Tunisia,59.9,646,544,84.2,161,150,52,12,4,33.3,5,3,0,1,0.4,0.08,9,109,37,0,10,44,23,20,0.14,14.7,30,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1.8,0,0,0,-0.4,-0.14
3857254,22/11/2022,Tunisia,away_team,Denmark,40.1,417,315,75.5,90,50,21,3,1,33.3,5,0,4,1,0.14,0.027,8,130,19,0,12,51,20,33,0.4,13.1,46,10,0,0,3,3,0,1,0.12,0.12,0.12,0,2,0,0,0,1.3,0,0,0,-0.14,-0.4
